,date,cases,deaths,new cases,new deaths,current active,infection rate,infection rate weekly avg,case growth
699476,2020-11-04,51985,318.0,861.0,1.0,13581.0,0.012117183631407782,0.01139028262212045,0.01684140521085987
702720,2020-11-05,53149,321.0,1164.0,3.0,14164.0,0.012637345479365278,0.0116715855376907,0.022391074348369722
705963,2020-11-06,54332,326.0,1183.0,5.0,14647.0,0.01306828574105219,0.011965124556520917,0.022258179834051442
709207,2020-11-07,55566,330.0,1234.0,4.0,15296.0,0.01364733383594827,0.012321373604558455,0.022712213796657586
712451,2020-11-08,56567,330.0,1001.0,0.0,15813.0,0.01410860943696718,0.012709869883062361,0.018014613252708492
715695,2020-11-09,57531,331.0,964.0,1.0,16277.0,0.014522597597262682,0.013134054796074502,0.017041738115862605
718939,2020-11-10,58495,334.0,964.0,3.0,16788.0,0.014978519903105357,0.013582839375015532,0.01675618362274252
722183,2020-11-11,59493,339.0,998.0,5.0,17173.0,0.015322023010247099,0.014040673571992578,0.017061287289511923
725427,2020-11-12,60859,342.0,1366.0,3.0,17912.0,0.015981370532786702,0.014518391436767067,0.02296068445027146
728671,2020-11-13,61673,348.0,814.0,6.0,17976.0,0.016038472347999874,0.014942703809188164,0.013375178691730065
731916,2020-11-14,63768,350.0,2095.0,2.0,19412.0,0.017319694326845436,0.015467326736459189,0.03396948421513466
735162,2020-11-15,64794,351.0,1026.0,1.0,19700.0,0.017576652495304716,0.01596276145907884,0.01608957470831765
738407,2020-11-16,65681,353.0,887.0,2.0,20119.0,0.017950490941778453,0.016452460508295377,0.013689539154860018
741654,2020-11-17,66727,356.0,1046.0,3.0,20701.0,0.018469760573873242,0.01695120917554793,0.01592545789497724
744901,2020-11-18,67942,360.0,1215.0,4.0,21214.0,0.01892746731144133,0.0174662726471471,0.018208521288234147
748148,2020-11-19,69503,364.0,1561.0,4.0,22018.0,0.01964480886505681,0.01798962098032855,0.022975479085102
751395,2020-11-20,71088,371.0,1585.0,7.0,22696.0,0.02024973121997136,0.01859122939061019,0.0228047710170784
754642,2020-11-21,72206,378.0,1118.0,7.0,23050.0,0.02056557563536922,0.019054926720399303,0.015726986270537924
757889,2020-11-22,73469,380.0,1263.0,2.0,23516.0,0.020981348227390135,0.01954131182498294,0.01749162119491455
761135,2020-11-23,74269,382.0,800.0,2.0,23740.0,0.02118120458063624,0.020002842344819766,0.010888946358328003
764381,2020-11-24,75458,383.0,1189.0,1.0,24268.0,0.021652294556144914,0.020457490056572863,0.016009371339320577
767627,2020-11-25,76220,390.0,762.0,7.0,24163.0,0.021558611890560804,0.020833367853589933,0.010098332847411805
770874,2020-11-26,76220,390.0,0.0,0.0,23002.0,0.02052274927395934,0.02095878791200458,0.0
774119,2020-11-27,78530,394.0,2310.0,4.0,24130.0,0.02152916876709151,0.021141564704450312,0.030307006035161375
777365,2020-11-28,79227,401.0,697.0,7.0,23590.0,0.021047372201230367,0.021210392785287618,0.008875588946899274
780611,2020-11-29,79836,402.0,609.0,1.0,23197.0,0.020696731367186978,0.021169733233830024,0.007686773448445605
783856,2020-11-30,80533,402.0,697.0,0.0,22931.0,0.020459401947707227,0.021066618571983022,0.008730397314494714
787100,2020-12-01,81337,407.0,804.0,5.0,22769.0,0.020314862977948885,0.020875556917955014,0.009983485030981088
790346,2020-12-02,82813,411.0,1476.0,4.0,23248.0,0.020742234376184974,0.020758931558758468,0.01814672289364004
793592,2020-12-03,84141,416.0,1328.0,5.0,23208.0,0.02070654574167674,0.020785188197003812,0.016036129593179814
796837,2020-12-04,85082,422.0,941.0,6.0,23335.0,0.020819857156240382,0.02068385796688222,0.011183608466740352
800083,2020-12-05,86339,428.0,1257.0,6.0,22493.0,0.020068611399842076,0.02054403499525532,0.014773982746056746
803329,2020-12-06,87328,428.0,989.0,0.0,22457.0,0.020036491628784667,0.02044971503262642,0.011454846593080763
806574,2020-12-07,88184,431.0,856.0,3.0,22425.0,0.02000794072117808,0.020385220571693684,0.009802125320630267
809819,2020-12-08,88921,442.0,737.0,11.0,22108.0,0.019725108292700334,0.020300969902372464,0.008357525174634855
813063,2020-12-09,89832,448.0,911.0,6.0,21802.0,0.019452090238712354,0.020116663597019236,0.0102450489760574
816309,2020-12-10,91056,460.0,1224.0,12.0,21457.0,0.019144275766078845,0.019893482171933822,0.013625434143734972
819555,2020-12-11,91795,465.0,739.0,5.0,20613.0,0.018391245577955132,0.019546537660750214,0.008115884730275875
822801,2020-12-12,93065,467.0,1270.0,2.0,20770.0,0.018531323468399946,0.019326925099115624,0.013835176207854459
826048,2020-12-13,93761,473.0,696.0,6.0,20199.0,0.01802186821079492,0.019039121753688517,0.007478643958523612
829294,2020-12-14,94415,474.0,654.0,1.0,20054.0,0.017892496910702577,0.018736915495049158,0.006975181578694766
832541,2020-12-15,94942,477.0,527.0,3.0,19390.0,0.017300065577865908,0.01839048082150138,0.0055817401895885185
835787,2020-12-16,95917,488.0,975.0,11.0,19599.0,0.017486538693171426,0.018109687743566964,0.010269427650565608
839033,2020-12-17,96864,497.0,947.0,9.0,20537.0,0.01832343717238949,0.017992425087325625,0.009873119467873266
842278,2020-12-18,97748,502.0,884.0,5.0,19110.0,0.01705024513630828,0.017800853595661793,0.009126197555335315
845524,2020-12-19,98563,507.0,815.0,5.0,19230.0,0.01715731103983298,0.01760456610586651,0.008337766501616401
848769,2020-12-20,99234,509.0,671.0,2.0,19291.0,0.01721173620745803,0.017488832962532667,0.006807828495480049
852014,2020-12-21,99874,512.0,640.0,3.0,19231.0,0.017158203255695684,0.017383933868960255,0.006449402422556785
855259,2020-12-22,100482,516.0,608.0,4.0,19036.0,0.016984221162468047,0.017338813238189133,0.00608767046478563
858504,2020-12-23,101258,527.0,776.0,11.0,18329.0,0.01635342454753503,0.017176939788812507,0.007722776218626222
861749,2020-12-24,102160,532.0,902.0,5.0,17903.0,0.01597334059002235,0.0168412117056172,0.008907938138221178
864994,2020-12-25,102160,532.0,0.0,0.0,16968.0,0.015139118758392406,0.016568193651629218,0.0
868239,2020-12-26,103313,533.0,1153.0,1.0,16869.0,0.015050789387984528,0.01626726198707944,0.011286217697729053
871484,2020-12-27,103615,535.0,302.0,2.0,16180.0,0.014436052658580218,0.015870735765811182,0.00292315584679566
874729,2020-12-28,104167,536.0,552.0,1.0,15878.0,0.014166603468043059,0.015443364367575091,0.005327413984461709
